468 123 246 374 386 -11 9.23 0 
458 112 236 368 383 -15 8.01 0 
457 118 240 359 353 -16 10.95 1 
450 115 236 352 340 -15 11.67 1 
464 119 243 366 371 -16 10.41 1 
499 147 273 404 433 5 9.51 0 
463 119 242 370 377 -12 8.67 0 
462 115 238 370 353 -13 7.75 0 
488 134 258 393 377 -5 8.05 0 
483 141 264 384 398 -2 11.39 1 
463 120 243 367 378 -13 9.95 1 
456 111 233 365 365 -15 8.25 0 
512 161 288 415 443 12 10.57 1 
518 167 293 421 450 19 10.23 1 
552 197 324 448 467 32 11.87 1 
497 146 271 407 451 11 8.09 0 
592 229 360 484 524 51 12.55 1 
501 150 274 406 407 11 8.38 0 
483 137 260 385 374 -3 9.64 0 
491 147 269 389 391 1 11.35 1 
463 121 242 366 353 -13 9.7 0 
507 159 285 410 445 13 10.75 1 
474 132 255 376 383 -7 10.75 1 
496 152 276 396 404 6 11.47 1 
486 144 266 393 373 26 8.66 0 
485 136 260 393 395 6 7.9 0 
482 136 260 388 423 -2 9.27 0 
443 112 232 346 355 -18 11.77 1 
478 134 256 382 390 -5 9.7 0 
449 113 233 351 343 -18 10.46 1 
461 121 243 366 378 -14 10.17 1 
503 155 280 403 414 6 11.1 1 
493 146 271 390 378 -3 12.03 1 
368 40 158 275 250 -63 9.43 0 
462 114 237 367 331 -19 8.66 0 
438 109 229 333 326 -28 14.44 1 
478 127 252 384 378 -11 8.5 0 
405 73 193 311 305 -44 10.41 1 
498 146 273 403 415 0 9.72 0 
442 106 226 341 303 -28 11.69 1 
457 118 240 354 327 -23 12.19 1 
439 103 224 339 325 -29 11.59 1 
500 146 272 404 398 5 8.76 0 
426 85 207 334 319 -36 8.6 0 
479 128 253 384 382 -10 8.54 0 
444 102 224 350 333 -27 9.34 0 
458 118 239 362 355 -16 10.09 1 
515 162 290 426 464 16 8.72 0 
465 124 247 369 386 -13 10.87 1 
457 120 242 363 411 -15 10.89 1 
