Bembicium vittatum:  Pelsaert Island 01.06km transect
APK1
APK3
EST4
GOT1
GOT2
LAP1
LGG
LPP
MPI
PG4
PGM1
PGM2
VLP1
VLP2
POP
01      , 0303  0202  0303  0202  0202  0303  0202  0303  0202  0202  0202  0203  0303  0202
02      , 0303  0202  0303  0203  0202  0303  0202  0304  0202  0202  0202  0303  0303  0303
03      , 0303  0202  0202  0202  0202  0303  0202  0304  0202  0202  0202  0303  0303  0203
04      , 0303  0202  0303  0203  0202  0303  0202  0303  0202  0202  0202  0303  0303  0203
05      , 0303  0202  0203  0202  0202  0303  0202  0404  0202  0202  0202  0303  0303  0203
06      , 0303  0202  0203  0202  0202  0303  0202  0304  0202  0202  0202  0303  0303  0303
07      , 0303  0202  0303  0202  0202  0303  0202  0304  0202  0202  0202  0303  0303  0203
08      , 0303  0202  0303  0202  0202  0303  0202  0304  0202  0202  0202  0303  0303  0203
09      , 0303  0202  0203  0203  0202  0303  0202  0404  0202  0202  0202  0303  0303  0202
10      , 0303  0202  0303  0202  0202  0303  0202  0304  0202  0202  0202  0303  0303  0203
11      , 0303  0202  0303  0203  0202  0303  0202  0304  0202  0202  0202  0303  0303  0202
12      , 0203  0202  0303  0203  0202  0303  0202  0304  0202  0202  0202  0203  0303  0202
13      , 0303  0202  0203  0203  0202  0303  0202  0303  0202  0202  0202  0303  0303  0203
14      , 0303  0202  0303  0202  0202  0303  0202  0303  0202  0202  0202  0303  0303  0202
15      , 0303  0202  0203  0203  0202  0303  0202  0304  0202  0202  0202  0303  0303  0202
16      , 0303  0202  0202  0203  0202  0303  0202  0303  0202  0202  0202  0303  0303  0303
17      , 0303  0202  0303  0202  0202  0303  0202  0303  0202  0202  0202  0203  0303  0202
18      , 0303  0202  0203  0203  0202  0303  0202  0304  0202  0202  0202  0303  0303  0202
19      , 0303  0202  0303  0203  0202  0303  0202  0304  0202  0202  0202  0203  0303  0202
20      , 0303  0202  0202  0202  0202  0303  0202  0303  0202  0202  0202  0203  0303  0203
21      , 0303  0202  0303  0202  0202  0303  0202  0303  0202  0202  0202  0303  0303  0203
22      , 0303  0202  0303  0202  0202  0303  0202  0303  0202  0202  0202  0303  0303  0303
23      , 0303  0202  0203  0203  0202  0303  0202  0304  0202  0202  0202  0303  0303  0202
24      , 0303  0202  0303  0202  0202  0303  0202  0303  0202  0202  0202  0303  0303  0303
25      , 0303  0202  0203  0202  0202  0303  0202  0304  0202  0202  0202  0303  0303  0202
26      , 0303  0202  0203  0202  0202  0303  0202  0304  0202  0202  0202  0203  0303  0202
27      , 0303  0202  0203  0202  0202  0303  0202  0304  0202  0202  0202  0303  0303  0202
